Date Received,Company ,City/County,Potential Number Affected,Layoff Date,Phone Number,Union  ,Notice ID  
3/26/2020,"Pappas Restaurants, Inc.  ",Springdale/Hamilton,166,3/21/2020,(713) 869-0151,None,119-20-034*
3/25/2020,"Augusta Sportswear, Inc.  ",Sidney/Shelby,200,3/23/2020,(937) 494-2500,None,119-20-033*
3/25/2020,"Mark Porter Auto Group-Porter CDJR, Inc.  ",Pomeroy/Meigs,29,03/25/2020  ,(614) 746-2814,None,119-20-032*
3/25/2020,"Mark Porter Auto Group-Mark Porter Autoplex, Inc.  ",Pomeroy/Meigs,91,03/25/2020  ,(614) 746-2814,None,119-20-031*
3/25/2020,"Mark Porter Auto Group-Porter Jackson, Inc.  ",Jackson/Jackson,41,03/25/2020  ,(614) 746-2814,None,119-20-030*
03/25/2020 Updated 05/14/2020,International Automotive Components  ,Huron/Erie,234,08/21/2020-10/31/2020,(419) 433-9417,"UAW, Local 913",007-20-025
3/25/2020,Driven Brands Shared Services (Take 5 Oil Change)  ,Various Cities/Various Counties  ,198,3/22/2020,(704) 644-8192,None,119-20-029*
3/25/2020,Taiho Corporation of America  ,Tiffin/Seneca,229,3/23/2020,(419) 443-1645,None  ,119-20-028*
3/25/2020,Ricart Automotive Personnel  ,Columbus/Franklin,121,3/24/2020,(614) 836-6454,None,119-20-027*
3/24/2020,Kleeberger Contracting Services  ,Liberty Center/Henry,5,3/23/2020,(567) 202-1237,None  ,119-20-026*
3/24/2020,"Brentwood Originals, Inc.  ",Youngstown/Mahoning,198,03/23/2020-03/31/2020,(310) 637-6804,"United Steelworkers District 1, Sub-District 1",119-20-025*
3/24/2020,Things Remembered Fulfillment Center  ,North Jackson/Mahoning,158,03/24/2020  ,(330) 538-2125,None  ,119-20-024*
03/24/2020 Updated 06/11/2020  ,Hilton Garden Inn-Toledo/Perrysburg  ,Perrysburg/Wood,112,03/20/2020-06/30/2020  ,(419) 873-3600,None  ,119-20-023*
3/24/2020,"Ultimate Home Services, LLC  ",Various Cities/Various Counties  ,62,03/24/2020  ,(614) 888-8698,None  ,119-20-022*
3/24/2020,Ross Casting & Innovation  ,Sidney/Shelby,167,03/24/2020  ,(937) 497-4500,None  ,119-20-021*
3/24/2020,Wright Tool  ,Barberton/Summit,140,03/23/2020  ,(330) 419-1733,None  ,119-20-020*
3/24/2020,Gissing North America  ,Sidney/Shelby,120,03/23/2020  ,(207) 784-1118,None  ,119-20-019*
03/24/2020 Updated 05/22/2020,Renaissance Cleveland Hotel  ,Cleveland/Cuyahoga,143,03/23/2020-04/08/2020,(972) 830-3123,None  ,119-20-018*
3/24/2020,Spire Hospitality  ,Blue Ash/Hamilton,79,7/1/2020,(469) 788-8710,None  ,013-20-024
3/24/2020,"JACK Ohio Finance, LLC (JACK Entertainment)  ",Cleveland/Cuyahoga,1561,03/31/2020  ,(216) 297-4896,"UAW Region 2B, IBT Local 436, USW District 1, Unite HERE Local 24, IATSE Local 756, CMJRB, affiliated with Workers United and SEIU, SPFPA",119-20-017*
03/24/2020 Updated 05/22/2020,Embassy Suites Cleveland Rockside  ,Independence/Cuyahoga,72,03/19/2020-03/31/2020  ,(972) 830-3123,None,119-20-016*
3/23/2020,Norcold Incorporated  ,Sidney/Shelby,345,3/23/2020,(734) 769-0721,None,119-20-015*
03/23/2020 Updated 04/29/2020,Matsu Ohio  ,Edgerton/Williams,175,03/23/2020-04/17/2020,(419) 298-2394,None,119-20-014*
3/23/2020,US Steel Seamless Tubular Operations (Lorain Tubular)  ,Lorain/Lorain,250,5/24/2020,(281) 671-3834,United Steelworkers,004-20-023
3/20/2020,Roush Auto Group  ,Columbus/Franklin,200,3/20/2020,(614) 942-4310,None,119-20-013*
3/20/2020,Murotech Ohio Corporation  ,Saint Marys/Auglaize,52,3/20/2020,(479) 733-2292,None,119-20-012*
3/20/2020,Chilgo LLC  ,Various Cities/Various Counties  ,331,3/16/2020,(216) 961-6767,None,119-20-011*
3/20/2020,"Calimira, LLC (Rusty Bucket Restaurant & Tavern)  ",Various Cities/Various Counties,910,3/15/2020,(614) 621-2965,None,119-20-010*
3/20/2020,Cameron Mitchell  ,Various Cities/Various Counties  ,1390,3/15/2020,(614) 621-2965,None,119-20-009*
3/20/2020,Ventra Salem LLC  ,Salem/Columbiana,794,3/20/2020,(234) 564-7103,None,119-20-008*
3/20/2020,Kirchhoff Automotive Waverly  ,Waverly/Pike,225,3/19/2020,(740) 912-9520,None,119-20-007*
3/20/2020,AEP - Conesville  ,Conesville/Coshocton,83,5/31/2020,(740) 829-4032,IBEW Local 1466,007-20-022
3/19/2020,Strang Corporation  ,Cleveland/Cuyahoga,105,3/16/2020,(216) 961-6767,None,119-20-006*
3/19/2020,"Ultra Premium Services, LLC  ",Brookfield/Trumbull,121,4/17/2020,(713) 585-3020,None,119-20-005*
03/19/2020 Updated 05/22/2020,Embassy Suites Dublin  ,"Dublin, Franklin",97,03/19/2020-04/15/2020,(972) 830-3123,None,119-20-004
3/19/2020,Punch Bowl Cleveland LLC  ,Cleveland/Cuyahoga,102,3/16/2020,(720) 414-2726,None,119-20-003*
3/17/2020,Totally Promotional  ,Coldwater/Mercer,150,03/17/2020-06/15/2020,(567) 890-6035,None,119-20-002*
3/17/2020,Firebirds Wood Fired Grill    ,Various/Various,410,3/15/2020,(704) 944-5164,None,119-20-001*
3/10/2020,Columbus McKinnon Corporation  ,Lisbon/Columbiana,69,05/05/2020-11/01/2020,(330) 332-6917,"United Steel, Paper and Forestry, Rubber, Manufacturing, and Energy, Allied Industrial and Service Workers International Union AFL-CIO-CLC, Local Union 3372-3    ",017-20-021
3/2/2020,"QIC Properties US, Inc.  ",Cleveland/Cuyahoga,56,4/30/2020,(216) 523-4323,None,003-20-020
02/19/2020 Updated 05/18/2020,Verizon  ,Hilliard/Franklin,496,04/07/2020-07/10/2020,(908) 559-1075,None,011-20-019
2/18/2020,Pier 1 Distribution and Fulfillment Center  ,Groveport/Franklin,75,4/10/2020,(817) 252-8132,None,011-20-018
2/14/2020,Worthington Industries  ,Wooster/Wayne,120,02/11/2020-05/31/2020,(614) 840-4296,None,007-20-017
2/13/2020,Miami University  ,Oxford/Butler,39,7/1/2020,(513) 529-5716,None,012-20-016
2/12/2020,Bear Down Logistics  ,Fairfield/Butler,105,4/2/2020,(708) 707-0461,None,012-20-015
02/10/2020 Updated 06/03/2020,JCPenney Store 1071  ,Akron/Summit,66,07/17/2020-07/31/2020,(779) 205-8624,None,002-20-014
2/10/2020,"Vantage Partners, LLC  ",Brook Park/Cuyahoga,216,3/31/2020,(301) 922-0733,None,003-20-013
2/10/2020,U.S. Bank Lunken Operations Center  ,Cincinnati/Hamilton,65,4/6/2020,(651) 468-2611,None,013-20-012
2/5/2020,Macy's Lorain  ,Lorain/Lorain,161,04/05/2020-10/07/2020,(678) 474-3281,None,004-20-011
2/4/2020,Lamrite West (The Michaels Companies)  ,Strongsville/Cuyahoga,77,2/4/2020,(440) 878-3513,None,003-20-010
02/03/2020 Updated 05/05/2020,"Fiserv, Inc.  ",Dublin/Franklin,102,03/31/2020-05/29/2020,(262) 879-5573,None,011-20-009
1/29/2020,"Brighton Tru-Edge Heads & Fabricated Products, Inc.  ",Cincinnati/Hamilton,71,04/28/2020-05/11/2020,(513) 482-7186,Boilermakers Local 106,013-20-008
1/28/2020,"EMCOR Facilities Services, Inc.  ",Cincinnati/Hamilton,59,3/31/2020,(513) 679-8668,None,013-20-007
1/27/2020,Altercare Adena  ,Adena/Jefferson,38,3/23/2020,(330) 498-8201,None,016-20-006
1/27/2020,AMETEK Westchester Plastics  ,Wapakoneta/Auglaize,78,03/31/2020-06/30/2020,(419) 739-3227,"United Electrical, Radio and Machine Workers of America (UE) Union, Local 766",008-20-005
1/17/2020,Jacobson Warehouse Company (XPO Logistics Supply Chain)  ,West Jefferson/Madison,185,3/20/2020,(336) 232-4100,None,007-20-004
1/15/2020,Newark Corporation  ,Richfield/Summit,71,3/6/2020,(773) 907-5355,None,002-20-003
1/7/2020,Macy's Northgate Mall  ,Cincinnati/Hamilton,139,03/17/2020-03/30/2020,(312) 781-5601,None,013-20-002
1/6/2020,Gannett  ,Columbus/Franklin,186,3/6/2020,(215) 692-0651,"International Brotherhood of Teamsters, Local 25-M of District Council 3; International Brotherhood of Teamsters, Local 473; and International Brotherhood of Teamsters, Local 284",011-20-001
